9,162,9,9,162,9,9,29,29,29,29,9,32,32,32,32,32,32,32,32,32,9,9,9,9,72,72,72,72,9,92,92,92,92,92,92,9,93,93,93,93,93,93,9,113,113,113,113,113,113,113,9,56,56,56,56,56,56,9,9,9,78,78,78,9,100,100,100,100,100,100,100,9,83,83,83,83,83,9,83,9,104,104,104,104,9,139,139,139,9,158,158,158,158,158,158,158,158,158,158,
162,162,9,162,162,162,162,9,29,29,9,88,9,32,9,9,9,9,32,32,9,184,184,9,184,9,72,72,9,92,92,92,92,92,92,92,92,9,93,93,93,93,9,113,113,113,113,113,113,113,113,9,56,56,9,56,56,9,9,9,9,78,78,78,78,9,100,100,100,100,100,9,83,83,83,83,83,83,83,83,83,9,104,104,104,9,139,139,139,139,9,9,158,158,158,158,158,158,158,158,
162,162,162,162,162,162,162,162,9,9,9,88,88,9,9,127,127,127,9,9,184,184,184,184,184,184,9,72,72,9,92,9,92,92,92,92,9,93,93,93,93,9,9,9,113,113,113,113,113,113,113,9,56,9,189,9,9,9,9,174,174,9,78,78,78,9,9,9,100,100,100,9,9,83,9,83,83,9,83,83,9,104,104,104,104,104,9,139,139,139,9,158,158,158,158,158,158,158,158,158,
162,162,162,162,162,162,9,162,162,9,88,88,88,88,9,127,127,127,9,184,184,184,184,184,184,184,184,9,72,72,9,92,92,92,92,9,93,93,93,93,93,93,9,9,113,113,113,113,113,9,9,9,9,189,189,189,9,9,174,174,174,174,9,78,9,209,9,100,100,100,9,247,247,9,9,83,9,9,83,9,104,104,104,104,104,9,139,139,139,139,9,158,158,158,158,158,158,158,158,158,
162,162,162,162,162,162,162,162,162,162,9,88,88,9,127,127,127,127,127,9,184,184,184,184,184,184,184,184,9,9,221,9,9,92,9,9,9,9,9,93,93,9,204,204,9,113,113,113,9,188,188,9,189,189,189,189,189,9,174,174,174,174,174,9,209,209,209,9,100,9,247,247,247,247,247,9,247,247,9,9,104,9,9,104,9,139,139,139,139,139,139,9,9,158,158,158,158,158,158,158,
162,162,162,162,162,162,162,162,9,9,9,9,9,127,127,127,127,127,9,184,184,184,184,184,184,184,184,9,9,9,221,221,9,9,9,9,111,111,9,9,9,204,204,204,204,9,113,9,188,188,9,189,9,189,189,189,189,189,9,174,174,174,9,9,209,209,9,9,9,247,9,247,247,247,247,247,247,247,9,331,9,331,331,9,9,139,139,139,139,139,9,158,158,158,158,158,158,158,158,9,
162,162,162,162,162,162,162,162,9,9,9,301,9,9,127,127,127,9,184,184,184,184,184,184,184,9,9,9,221,221,221,221,221,9,9,221,9,9,204,204,204,204,204,204,204,204,9,188,188,9,189,189,189,189,189,189,9,9,174,174,174,174,174,174,9,209,209,9,247,247,247,247,247,247,247,247,247,9,331,331,331,331,331,331,331,9,139,9,139,9,230,9,158,9,158,158,158,158,9,9,
162,162,9,162,162,162,162,9,301,9,301,301,301,9,9,9,9,9,184,184,184,184,184,184,184,184,9,221,221,221,221,221,221,221,221,221,221,9,9,9,204,204,204,204,204,204,204,9,188,188,9,189,189,189,189,189,189,9,9,174,174,174,9,9,209,209,209,9,9,247,247,247,247,247,247,247,9,331,331,331,331,331,331,331,331,331,9,9,9,230,230,230,9,351,9,158,158,9,334,334,
162,9,298,9,162,162,9,301,301,301,301,301,301,301,9,9,257,9,9,9,184,184,184,9,184,9,9,221,221,221,221,221,221,221,221,221,9,204,204,204,204,204,204,204,9,204,204,204,9,188,188,9,9,189,9,189,9,9,225,9,174,174,9,209,209,209,9,247,247,247,247,247,247,247,9,9,331,331,331,331,331,331,331,331,331,331,331,9,230,230,230,9,351,351,351,9,9,334,334,9,
9,298,298,298,9,9,301,301,301,301,301,301,301,301,301,9,257,257,257,257,9,184,9,9,9,9,9,221,221,221,221,221,221,221,221,221,221,9,9,204,204,204,204,204,204,204,204,9,285,9,188,188,9,189,9,9,9,9,225,225,9,9,9,209,209,209,209,9,247,247,247,247,247,9,331,331,331,331,331,331,331,331,331,331,331,331,331,9,230,230,230,9,351,351,351,9,334,334,334,334,
